2025-02-09 01:15:00,334 - INFO - Attempting database connection...
2025-02-09 01:15:00,334 - INFO - Database configuration:
2025-02-09 01:15:00,334 - INFO -   Database Name: fil_dict_db
2025-02-09 01:15:00,335 - INFO -   User: postgres
2025-02-09 01:15:00,335 - INFO -   Host: localhost
2025-02-09 01:15:00,335 - INFO -   Password: ********
2025-02-09 01:15:00,367 - INFO - Successfully established database connection
2025-02-09 01:15:00,367 - INFO - Setting up PostgreSQL extensions...
2025-02-09 01:15:00,368 - INFO - Checking extension: pg_trgm
2025-02-09 01:15:00,375 - INFO - Extension already installed: pg_trgm
2025-02-09 01:15:00,375 - INFO - Checking extension: unaccent
2025-02-09 01:15:00,376 - INFO - Extension already installed: unaccent
2025-02-09 01:15:00,376 - INFO - Checking extension: fuzzystrmatch
2025-02-09 01:15:00,376 - INFO - Extension already installed: fuzzystrmatch
2025-02-09 01:15:00,376 - INFO - Extensions setup completed
2025-02-09 01:15:00,376 - INFO - Starting table creation/update process.
2025-02-09 01:15:00,391 - INFO - Tables created or updated successfully.
2025-02-09 01:15:00,394 - INFO - Processing Tagalog words from: data/tagalog-words.json
2025-02-09 01:16:15,301 - INFO - Processing root words from: data/root_words_with_associated_words_cleaned.json
2025-02-09 01:16:46,961 - INFO - Processing KWF dictionary from: data/kwf_dictionary.json
2025-02-09 01:18:06,361 - INFO - Starting to process Kaikki file: data/kaikki.jsonl
2025-02-09 01:18:06,386 - WARNING - Invalid Baybayin data for word 'lente', clearing baybayin fields.
2025-02-09 01:18:06,394 - WARNING - Invalid Baybayin data for word 'abnormal', clearing baybayin fields.
2025-02-09 01:18:06,395 - WARNING - Invalid Baybayin data for word 'abdominal', clearing baybayin fields.
2025-02-09 01:18:06,397 - WARNING - Invalid Baybayin data for word 'June', clearing baybayin fields.
2025-02-09 01:18:06,399 - WARNING - Invalid Baybayin data for word 'tago', clearing baybayin fields.
2025-02-09 01:18:06,413 - WARNING - Invalid Baybayin data for word 'tago', clearing baybayin fields.
2025-02-09 01:18:06,418 - WARNING - Invalid Baybayin data for word 'abdomen', clearing baybayin fields.
2025-02-09 01:18:06,420 - WARNING - Invalid Baybayin data for word 'absent', clearing baybayin fields.
2025-02-09 01:18:06,423 - WARNING - Invalid Baybayin data for word 'Esperanto', clearing baybayin fields.
2025-02-09 01:18:06,428 - WARNING - Invalid Baybayin data for word 'April', clearing baybayin fields.
2025-02-09 01:18:06,431 - WARNING - Invalid Baybayin data for word 'libre', clearing baybayin fields.
2025-02-09 01:18:06,455 - WARNING - Invalid Baybayin data for word 'libre', clearing baybayin fields.
2025-02-09 01:18:06,478 - WARNING - Invalid Baybayin data for word 'menos', clearing baybayin fields.
2025-02-09 01:18:06,482 - WARNING - Invalid Baybayin data for word 'January', clearing baybayin fields.
2025-02-09 01:18:06,491 - WARNING - Invalid Baybayin data for word 'abate', clearing baybayin fields.
2025-02-09 01:18:06,495 - WARNING - Invalid Baybayin data for word 'peso', clearing baybayin fields.
2025-02-09 01:18:06,498 - WARNING - Invalid Baybayin data for word 'tao', clearing baybayin fields.
2025-02-09 01:18:06,611 - WARNING - Invalid Baybayin data for word 'tao', clearing baybayin fields.
2025-02-09 01:18:06,623 - WARNING - Invalid Baybayin data for word 'are', clearing baybayin fields.
2025-02-09 01:18:06,625 - WARNING - Invalid Baybayin data for word 'robot', clearing baybayin fields.
2025-02-09 01:18:06,629 - WARNING - Invalid Baybayin data for word 'Burundi', clearing baybayin fields.
2025-02-09 01:18:06,632 - WARNING - Invalid Baybayin data for word 'Gabon', clearing baybayin fields.
2025-02-09 01:18:06,634 - WARNING - Invalid Baybayin data for word 'Kenya', clearing baybayin fields.
2025-02-09 01:18:06,637 - WARNING - Invalid Baybayin data for word 'f', clearing baybayin fields.
2025-02-09 01:18:06,639 - WARNING - Invalid Baybayin data for word 'f', clearing baybayin fields.
2025-02-09 01:18:06,644 - WARNING - Invalid Baybayin data for word 'a-', clearing baybayin fields.
2025-02-09 01:18:06,646 - WARNING - Invalid Baybayin data for word 'Brasil', clearing baybayin fields.
2025-02-09 01:18:06,648 - WARNING - Invalid Baybayin data for word 'Botswana', clearing baybayin fields.
2025-02-09 01:18:06,654 - WARNING - Invalid Baybayin data for word 'also', clearing baybayin fields.
2025-02-09 01:18:06,656 - WARNING - Invalid Baybayin data for word 'van', clearing baybayin fields.
2025-02-09 01:18:06,658 - WARNING - Invalid Baybayin data for word 'mars', clearing baybayin fields.
2025-02-09 01:18:06,660 - WARNING - Invalid Baybayin data for word 'Oman', clearing baybayin fields.
2025-02-09 01:18:06,662 - WARNING - Invalid Baybayin data for word 'Lebanon', clearing baybayin fields.
2025-02-09 01:18:06,664 - WARNING - Invalid Baybayin data for word 'y', clearing baybayin fields.
2025-02-09 01:18:06,667 - WARNING - Invalid Baybayin data for word 'y', clearing baybayin fields.
2025-02-09 01:18:06,670 - WARNING - Invalid Baybayin data for word 'y', clearing baybayin fields.
2025-02-09 01:18:06,671 - WARNING - Invalid Baybayin data for word 'y', clearing baybayin fields.
2025-02-09 01:18:06,677 - WARNING - Invalid Baybayin data for word 'Israel', clearing baybayin fields.
2025-02-09 01:18:06,682 - WARNING - Invalid Baybayin data for word 'Nepal', clearing baybayin fields.
2025-02-09 01:18:06,685 - WARNING - Invalid Baybayin data for word 'Laos', clearing baybayin fields.
2025-02-09 01:18:06,687 - WARNING - Invalid Baybayin data for word 'Yemen', clearing baybayin fields.
2025-02-09 01:18:06,692 - WARNING - Invalid Baybayin data for word 'Togo', clearing baybayin fields.
2025-02-09 01:18:06,699 - WARNING - Invalid Baybayin data for word 'Senegal', clearing baybayin fields.
2025-02-09 01:18:06,701 - WARNING - Invalid Baybayin data for word 'Peru', clearing baybayin fields.
2025-02-09 01:18:06,703 - WARNING - Invalid Baybayin data for word 'Iran', clearing baybayin fields.
2025-02-09 01:18:06,707 - WARNING - Invalid Baybayin data for word 'Turkmenistan', clearing baybayin fields.
2025-02-09 01:18:06,710 - WARNING - Invalid Baybayin data for word 'Saudi Arabia', clearing baybayin fields.
2025-02-09 01:18:06,713 - WARNING - Invalid Baybayin data for word 'te', clearing baybayin fields.
2025-02-09 01:18:06,715 - WARNING - Invalid Baybayin data for word 'te', clearing baybayin fields.
2025-02-09 01:18:06,719 - WARNING - Invalid Baybayin data for word 'Burma', clearing baybayin fields.
2025-02-09 01:18:06,721 - WARNING - Invalid Baybayin data for word 'presidente', clearing baybayin fields.
2025-02-09 01:18:06,724 - WARNING - Invalid Baybayin data for word 'San Marino', clearing baybayin fields.
2025-02-09 01:18:06,728 - WARNING - Invalid Baybayin data for word 'A', clearing baybayin fields.
2025-02-09 01:18:06,822 - WARNING - Invalid Baybayin data for word 'Portugal', clearing baybayin fields.
2025-02-09 01:18:06,824 - WARNING - Invalid Baybayin data for word 'Portugal', clearing baybayin fields.
2025-02-09 01:18:06,826 - WARNING - Invalid Baybayin data for word 'vi', clearing baybayin fields.
2025-02-09 01:18:06,830 - WARNING - Invalid Baybayin data for word 'Benin', clearing baybayin fields.
2025-02-09 01:18:06,832 - WARNING - Invalid Baybayin data for word 'on', clearing baybayin fields.
2025-02-09 01:18:06,835 - WARNING - Invalid Baybayin data for word 'tigre', clearing baybayin fields.
2025-02-09 01:18:06,840 - WARNING - Invalid Baybayin data for word 'de', clearing baybayin fields.
2025-02-09 01:18:06,844 - WARNING - Invalid Baybayin data for word 'de', clearing baybayin fields.
2025-02-09 01:18:06,846 - WARNING - Invalid Baybayin data for word 'Belarus', clearing baybayin fields.
2025-02-09 01:18:06,863 - WARNING - Invalid Baybayin data for word 'radar', clearing baybayin fields.
2025-02-09 01:18:06,875 - WARNING - Invalid Baybayin data for word 'ao', clearing baybayin fields.
2025-02-09 01:18:06,877 - WARNING - Invalid Baybayin data for word 'mental', clearing baybayin fields.
2025-02-09 01:18:06,879 - WARNING - Invalid Baybayin data for word 'mental', clearing baybayin fields.
2025-02-09 01:18:06,882 - WARNING - Invalid Baybayin data for word 'be', clearing baybayin fields.
2025-02-09 01:18:06,884 - WARNING - Invalid Baybayin data for word 'noon', clearing baybayin fields.
2025-02-09 01:18:06,886 - WARNING - Invalid Baybayin data for word 'noon', clearing baybayin fields.
2025-02-09 01:18:06,888 - WARNING - Invalid Baybayin data for word 'abandono', clearing baybayin fields.
2025-02-09 01:18:06,891 - WARNING - Invalid Baybayin data for word 'en', clearing baybayin fields.
2025-02-09 01:18:06,892 - WARNING - Invalid Baybayin data for word 'ate', clearing baybayin fields.
2025-02-09 01:18:06,913 - WARNING - Invalid Baybayin data for word 'ate', clearing baybayin fields.
2025-02-09 01:18:06,919 - WARNING - Invalid Baybayin data for word 'o', clearing baybayin fields.
2025-02-09 01:18:07,005 - WARNING - Invalid Baybayin data for word 'o', clearing baybayin fields.
2025-02-09 01:18:07,052 - WARNING - Invalid Baybayin data for word 'o', clearing baybayin fields.
2025-02-09 01:18:07,054 - WARNING - Invalid Baybayin data for word 'o', clearing baybayin fields.
2025-02-09 01:18:07,057 - WARNING - Invalid Baybayin data for word 'o', clearing baybayin fields.
2025-02-09 01:18:07,064 - WARNING - Invalid Baybayin data for word 'i', clearing baybayin fields.
2025-02-09 01:18:07,151 - WARNING - Invalid Baybayin data for word 'X', clearing baybayin fields.
2025-02-09 01:18:07,154 - WARNING - Invalid Baybayin data for word 'X', clearing baybayin fields.
2025-02-09 01:18:07,159 - WARNING - Invalid Baybayin data for word 'xerox', clearing baybayin fields.
2025-02-09 01:18:07,173 - WARNING - Invalid Baybayin data for word 'mundo', clearing baybayin fields.
2025-02-09 01:18:07,178 - WARNING - Invalid Baybayin data for word 'mundo', clearing baybayin fields.
2025-02-09 01:18:07,188 - WARNING - Invalid Baybayin data for word 'el', clearing baybayin fields.
2025-02-09 01:18:07,191 - WARNING - Invalid Baybayin data for word 'sombrero', clearing baybayin fields.
2025-02-09 01:18:07,193 - WARNING - Invalid Baybayin data for word 'bold', clearing baybayin fields.
2025-02-09 01:18:07,194 - WARNING - Invalid Baybayin data for word 'bold', clearing baybayin fields.
2025-02-09 01:18:07,198 - WARNING - Invalid Baybayin data for word 'Korea', clearing baybayin fields.
2025-02-09 01:18:07,207 - WARNING - Invalid Baybayin data for word 'regular', clearing baybayin fields.
2025-02-09 01:18:07,222 - WARNING - Invalid Baybayin data for word 'beso', clearing baybayin fields.
2025-02-09 01:18:07,232 - WARNING - Invalid Baybayin data for word 'PI', clearing baybayin fields.
2025-02-09 01:18:07,234 - WARNING - Invalid Baybayin data for word 'balido', clearing baybayin fields.
2025-02-09 01:18:07,282 - WARNING - Invalid Baybayin data for word 'AP', clearing baybayin fields.
2025-02-09 01:18:07,283 - WARNING - Invalid Baybayin data for word 'grupo', clearing baybayin fields.
2025-02-09 01:18:07,296 - WARNING - Invalid Baybayin data for word 'OA', clearing baybayin fields.
2025-02-09 01:18:07,300 - WARNING - Invalid Baybayin data for word 'baon', clearing baybayin fields.
2025-02-09 01:18:07,321 - WARNING - Invalid Baybayin data for word 'baon', clearing baybayin fields.
2025-02-09 01:18:07,324 - WARNING - Invalid Baybayin data for word 'baon', clearing baybayin fields.
2025-02-09 01:18:07,338 - WARNING - Invalid Baybayin data for word 'alo', clearing baybayin fields.
2025-02-09 01:18:07,350 - WARNING - Invalid Baybayin data for word 'barato', clearing baybayin fields.
2025-02-09 01:18:07,352 - WARNING - Invalid Baybayin data for word 'CH', clearing baybayin fields.
2025-02-09 01:18:07,474 - WARNING - Invalid Baybayin data for word 'hamster', clearing baybayin fields.
2025-02-09 01:18:07,476 - WARNING - Invalid Baybayin data for word 'boss', clearing baybayin fields.
2025-02-09 01:18:07,478 - WARNING - Invalid Baybayin data for word 'salmon', clearing baybayin fields.
2025-02-09 01:18:07,482 - WARNING - Invalid Baybayin data for word 'granada', clearing baybayin fields.
2025-02-09 01:18:07,487 - WARNING - Invalid Baybayin data for word 'matadero', clearing baybayin fields.
2025-02-09 01:18:07,509 - WARNING - Invalid Baybayin data for word 'haj', clearing baybayin fields.
2025-02-09 01:18:07,511 - WARNING - Invalid Baybayin data for word 'pato', clearing baybayin fields.
2025-02-09 01:18:07,517 - WARNING - Invalid Baybayin data for word 'boy', clearing baybayin fields.
2025-02-09 01:18:07,530 - WARNING - Invalid Baybayin data for word 'matador', clearing baybayin fields.
2025-02-09 01:18:07,569 - WARNING - Invalid Baybayin data for word 'Salvador', clearing baybayin fields.
2025-02-09 01:18:07,576 - WARNING - Invalid Baybayin data for word 'Darwin', clearing baybayin fields.
2025-02-09 01:18:07,581 - WARNING - Invalid Baybayin data for word 'torta', clearing baybayin fields.
2025-02-09 01:18:07,604 - WARNING - Invalid Baybayin data for word 'Bombay', clearing baybayin fields.
2025-02-09 01:18:07,606 - WARNING - Invalid Baybayin data for word 'Bombay', clearing baybayin fields.
2025-02-09 01:18:07,613 - WARNING - Invalid Baybayin data for word 'Bombay', clearing baybayin fields.
2025-02-09 01:18:07,615 - WARNING - Invalid Baybayin data for word 'leche', clearing baybayin fields.
2025-02-09 01:18:07,617 - WARNING - Invalid Baybayin data for word 'leche', clearing baybayin fields.
2025-02-09 01:18:07,619 - WARNING - Invalid Baybayin data for word 'leche', clearing baybayin fields.
2025-02-09 01:18:07,621 - WARNING - Invalid Baybayin data for word 'Moslem', clearing baybayin fields.
2025-02-09 01:18:07,623 - WARNING - Invalid Baybayin data for word 'Moslem', clearing baybayin fields.
2025-02-09 01:18:07,676 - WARNING - Invalid Baybayin data for word 'ke', clearing baybayin fields.
2025-02-09 01:18:07,678 - WARNING - Invalid Baybayin data for word 'ke', clearing baybayin fields.
2025-02-09 01:18:07,686 - WARNING - Invalid Baybayin data for word 'Hong Kong', clearing baybayin fields.
2025-02-09 01:18:07,831 - WARNING - Invalid Baybayin data for word 'dodo', clearing baybayin fields.
2025-02-09 01:18:07,832 - WARNING - Invalid Baybayin data for word 'liberal', clearing baybayin fields.
2025-02-09 01:18:07,854 - WARNING - Invalid Baybayin data for word 'chat', clearing baybayin fields.
2025-02-09 01:18:07,963 - WARNING - Invalid Baybayin data for word 'he', clearing baybayin fields.
2025-02-09 01:18:07,965 - WARNING - Invalid Baybayin data for word 'he', clearing baybayin fields.
2025-02-09 01:18:07,966 - WARNING - Invalid Baybayin data for word 'lingo', clearing baybayin fields.
2025-02-09 01:18:08,020 - WARNING - Invalid Baybayin data for word 'among', clearing baybayin fields.
2025-02-09 01:18:08,022 - WARNING - Invalid Baybayin data for word 'look', clearing baybayin fields.
2025-02-09 01:18:08,036 - WARNING - Invalid Baybayin data for word 'legal', clearing baybayin fields.
2025-02-09 01:18:08,038 - WARNING - Invalid Baybayin data for word 'ye', clearing baybayin fields.
2025-02-09 01:18:08,041 - WARNING - Invalid Baybayin data for word 'bra', clearing baybayin fields.
2025-02-09 01:18:08,057 - WARNING - Invalid Baybayin data for word 'betun', clearing baybayin fields.
2025-02-09 01:18:08,059 - WARNING - Invalid Baybayin data for word 'tore', clearing baybayin fields.
2025-02-09 01:18:08,064 - WARNING - Invalid Baybayin data for word 'ideal', clearing baybayin fields.
2025-02-09 01:18:08,072 - WARNING - Invalid Baybayin data for word 'ideal', clearing baybayin fields.
2025-02-09 01:18:08,076 - WARNING - Invalid Baybayin data for word 'abako', clearing baybayin fields.
2025-02-09 01:18:08,078 - WARNING - Invalid Baybayin data for word 'me', clearing baybayin fields.
2025-02-09 01:18:08,080 - WARNING - Invalid Baybayin data for word 'me', clearing baybayin fields.
2025-02-09 01:18:08,082 - WARNING - Invalid Baybayin data for word 'basket', clearing baybayin fields.
2025-02-09 01:18:08,092 - WARNING - Invalid Baybayin data for word 'basket', clearing baybayin fields.
2025-02-09 01:18:08,095 - WARNING - Invalid Baybayin data for word 'simple', clearing baybayin fields.
2025-02-09 01:18:08,115 - WARNING - Invalid Baybayin data for word 'rumor', clearing baybayin fields.
2025-02-09 01:18:08,119 - WARNING - Invalid Baybayin data for word 'bir', clearing baybayin fields.
2025-02-09 01:18:08,125 - WARNING - Invalid Baybayin data for word '-rin', clearing baybayin fields.
2025-02-09 01:18:08,127 - WARNING - Invalid Baybayin data for word 'rin', clearing baybayin fields.
2025-02-09 01:18:08,136 - WARNING - Invalid Baybayin data for word 'baron', clearing baybayin fields.
2025-02-09 01:18:08,137 - WARNING - Invalid Baybayin data for word 'duke', clearing baybayin fields.
2025-02-09 01:18:08,140 - WARNING - Invalid Baybayin data for word 'base', clearing baybayin fields.
2025-02-09 01:18:08,150 - WARNING - Invalid Baybayin data for word 'q', clearing baybayin fields.
2025-02-09 01:18:08,152 - WARNING - Invalid Baybayin data for word 'q', clearing baybayin fields.
2025-02-09 01:18:08,156 - WARNING - Invalid Baybayin data for word 'ese', clearing baybayin fields.
2025-02-09 01:18:08,159 - WARNING - Invalid Baybayin data for word 'tanto', clearing baybayin fields.
2025-02-09 01:18:08,161 - WARNING - Invalid Baybayin data for word 'tanto', clearing baybayin fields.
2025-02-09 01:18:08,164 - WARNING - Invalid Baybayin data for word 'tanto', clearing baybayin fields.
